Columna2;CODIGODEPTO;NOMBREDEPTO;VICEPRESIDENCIANIVEL1;VICEPRESIDENCIANIVEL2
201701;1980569;UNIDAD TRANSFORMACIÓN CULTURAL;VICEPRESIDENCIA DESARROLLO HUMANO Y ORGANIZACIONAL;GERENCIA DESARROLLO HUMANO Y CULTURA ORGANIZACIONAL
201701;1980564;DIRECCIÓN SOLUCIONES DESARROLLO HUMANO;VICEPRESIDENCIA DESARROLLO HUMANO Y ORGANIZACIONAL;GERENCIA DESARROLLO HUMANO Y CULTURA ORGANIZACIONAL
201701;1411027;UNIDAD GESTIÓN DE INFRAESTRUCTURA AGUA Y SANEAMIENTO;VICEPRESIDENCIA EJECUTIVA GESTIÓN DE NEGOCIOS;VICEPRESIDENCIA AGUA Y SANEAMIENTO
201701;1989074;UNIDAD SOLUCIONES DE TI CORPORATIVAS;VICEPRESIDENCIA DESARROLLO HUMANO Y ORGANIZACIONAL;GERENCIA TECNOLOGÍA DE INFORMACIÓN
201701;1337280;UNIDAD SUBESTACIONES Y LÍNEAS T&D ENERGÍA;VICEPRESIDENCIA EJECUTIVA GESTIÓN DE NEGOCIOS;VICEPRESIDENCIA T&D ENERGÍA
201701;1312004;UNIDAD GESTIÓN AMBIENTAL Y SOCIAL GENERACIÓN ENERGÍA;VICEPRESIDENCIA EJECUTIVA GESTIÓN DE NEGOCIOS;VICEPRESIDENCIA GENERACIÓN ENERGÍA
201701;1312013;UNIDAD OPERACIÓN Y MANTENIMIENTO GENERACIÓN ENERGÍA;VICEPRESIDENCIA EJECUTIVA GESTIÓN DE NEGOCIOS;VICEPRESIDENCIA GENERACIÓN ENERGÍA
201701;1980732;DIRECCIÓN OPERACIONES INTERNAS CADENA DE SUMINISTRO;VICEPRESIDENCIA SUMINISTROS Y SERVICIOS COMPARTIDOS;GERENCIA CADENA DE SUMINISTRO
201701;1985021;UNIDAD NEGOCIACIÓN Y ADMINISTRACIÓN ACTIVO INMOBILIARIO;VICEPRESIDENCIA SUMINISTROS Y SERVICIOS COMPARTIDOS;GERENCIA SOPORTE ADMINISTRATIVO
201701;1312014;UNIDAD HIDROMETRÍA Y CALIDAD GENERACIÓN ENERGÍA;VICEPRESIDENCIA EJECUTIVA GESTIÓN DE NEGOCIOS;VICEPRESIDENCIA GENERACIÓN ENERGÍA
201701;1312040;GERENCIA GENERACIÓN ENERGÍA REGIÓN NOROCCIDENTAL;VICEPRESIDENCIA EJECUTIVA GESTIÓN DE NEGOCIOS;VICEPRESIDENCIA GENERACIÓN ENERGÍA
201701;1411035;UNIDAD GESTIÓN DEL RENDIMIENTO AGUA Y SANEAMIENTO;VICEPRESIDENCIA EJECUTIVA GESTIÓN DE NEGOCIOS;VICEPRESIDENCIA AGUA Y SANEAMIENTO
201701;1975074;DEPARTAMENTO PROVEEDURÍA;VICEPRESIDENCIA SUMINISTROS Y SERVICIOS COMPARTIDOS;GERENCIA SOPORTE ADMINISTRATIVO
201701;1411026;UNIDAD CONSERVACIÓN DEL AGUA;VICEPRESIDENCIA EJECUTIVA GESTIÓN DE NEGOCIOS;VICEPRESIDENCIA AGUA Y SANEAMIENTO
201701;1985020;DIRECCIÓN GESTIÓN INMOBILIARIA;VICEPRESIDENCIA SUMINISTROS Y SERVICIOS COMPARTIDOS;GERENCIA SOPORTE ADMINISTRATIVO
201701;1411053;UNIDAD PRODUCCIÓN AGUAS;VICEPRESIDENCIA EJECUTIVA GESTIÓN DE NEGOCIOS;VICEPRESIDENCIA AGUA Y SANEAMIENTO
201701;1980143;UNIDAD GESTIÓN DE INSTALACIONES;VICEPRESIDENCIA EJECUTIVA GESTIÓN DE NEGOCIOS;VICEPRESIDENCIA COMERCIAL
201701;1980152;GERENCIA ATENCIÓN AL CLIENTE;VICEPRESIDENCIA EJECUTIVA GESTIÓN DE NEGOCIOS;VICEPRESIDENCIA COMERCIAL
201701;1980670;GERENCIA PLANEACIÓN FINANCIERA;VICEPRESIDENCIA EJECUTIVA FINANZAS CORPORATIVAS, GESTIÓN DE RIESGOS E INVERSIONES;GERENCIA PLANEACIÓN FINANCIERA
201701;1980264;UNIDAD PROYECTOS LINEALES 2;VICEPRESIDENCIA EJECUTIVA PROYECTOS E INGENIERÍA;GERENCIA PROYECTOS DE INFRAESTRUCTURA
201701;1980707;UNIDAD PLANEACIÓN CADENA DE SUMINISTRO PARA PROYECTOS;VICEPRESIDENCIA SUMINISTROS Y SERVICIOS COMPARTIDOS;GERENCIA CADENA DE SUMINISTRO
201701;1411054;UNIDAD OPERACIÓN Y MANTENIMIENTO PROVISIÓN AGUAS;VICEPRESIDENCIA EJECUTIVA GESTIÓN DE NEGOCIOS;VICEPRESIDENCIA AGUA Y SANEAMIENTO
201701;1980500;VICEPRESIDENCIA DESARROLLO HUMANO Y ORGANIZACIONAL;VICEPRESIDENCIA DESARROLLO HUMANO Y ORGANIZACIONAL;VICEPRESIDENCIA DESARROLLO HUMANO Y ORGANIZACIONAL
201701;1727180;UNIDAD GESTIÓN DEL RENDIMIENTO GAS;VICEPRESIDENCIA EJECUTIVA GESTIÓN DE NEGOCIOS;VICEPRESIDENCIA GAS
201701;1980722;DIRECCIÓN LOGÍSTICA Y COMERCIO EXTERIOR;VICEPRESIDENCIA SUMINISTROS Y SERVICIOS COMPARTIDOS;GERENCIA CADENA DE SUMINISTRO
201701;1980297;UNIDAD CENTRO DE EXCELENCIA TÉCNICA ESTUDIOS;VICEPRESIDENCIA EJECUTIVA PROYECTOS E INGENIERÍA;GERENCIA CENTROS DE EXCELENCIA TÉCNICA
201701;1980612;DIRECCIÓN TRANSACCIONES FINANCIERAS;VICEPRESIDENCIA EJECUTIVA FINANZAS CORPORATIVAS, GESTIÓN DE RIESGOS E INVERSIONES;GERENCIA CONTABILIDAD Y SERVICIOS FINANCIEROS
201701;1980290;GERENCIA CENTROS DE EXCELENCIA TÉCNICA;VICEPRESIDENCIA EJECUTIVA PROYECTOS E INGENIERÍA;GERENCIA CENTROS DE EXCELENCIA TÉCNICA
201701;1980294;UNIDAD CENTRO DE EXCELENCIA TÉCNICA NORMALIZACIÓN Y ESPECIFICACIONES;VICEPRESIDENCIA EJECUTIVA PROYECTOS E INGENIERÍA;GERENCIA CENTROS DE EXCELENCIA TÉCNICA
201701;1337500;GERENCIA COMERCIAL T&D ENERGÍA;VICEPRESIDENCIA EJECUTIVA GESTIÓN DE NEGOCIOS;VICEPRESIDENCIA T&D ENERGÍA
201701;1985080;DEPARTAMENTO GESTIÓN DOCUMENTAL;VICEPRESIDENCIA SUMINISTROS Y SERVICIOS COMPARTIDOS;GERENCIA SOPORTE ADMINISTRATIVO
201701;1337350;UNIDAD DISTRIBUCIÓN ZONA CENTRO T&D ENERGÍA;VICEPRESIDENCIA EJECUTIVA GESTIÓN DE NEGOCIOS;VICEPRESIDENCIA T&D ENERGÍA
201701;1980457;DIRECCIÓN SOPORTE LEGAL CORPORATIVO;SECRETARÍA GENERAL;GERENCIA JURÍDICA GRUPO EMPRESARIAL
201701;1300222;DIRECCIÓN AMBIENTAL, SOCIAL Y SOSTENIBILIDAD PROYECTO ITUANGO;VICEPRESIDENCIA EJECUTIVA PROYECTOS E INGENIERÍA;VICEPRESIDENCIA PROYECTOS GENERACIÓN ENERGÍA
201701;1312033;UNIDAD OPERACIONES ZONA NORTE;VICEPRESIDENCIA EJECUTIVA GESTIÓN DE NEGOCIOS;VICEPRESIDENCIA GENERACIÓN ENERGÍA
201701;1980801;VICEPRESIDENCIA EJECUTIVA ESTRATEGIA Y CRECIMIENTO;VICEPRESIDENCIA EJECUTIVA ESTRATEGIA Y CRECIMIENTO;VICEPRESIDENCIA EJECUTIVA ESTRATEGIA Y CRECIMIENTO
201701;1989000;GERENCIA TECNOLOGÍA DE INFORMACIÓN;VICEPRESIDENCIA DESARROLLO HUMANO Y ORGANIZACIONAL;GERENCIA TECNOLOGÍA DE INFORMACIÓN
201701;1300223;DIRECCIÓN DESARROLLO PROYECTO ITUANGO;VICEPRESIDENCIA EJECUTIVA PROYECTOS E INGENIERÍA;VICEPRESIDENCIA PROYECTOS GENERACIÓN ENERGÍA
201701;1337320;UNIDAD DISTRIBUCIÓN ZONA SUR T&D ENERGÍA;VICEPRESIDENCIA EJECUTIVA GESTIÓN DE NEGOCIOS;VICEPRESIDENCIA T&D ENERGÍA
201701;1727553;UNIDAD GESTIÓN DE ALIADOS GAS;VICEPRESIDENCIA EJECUTIVA GESTIÓN DE NEGOCIOS;VICEPRESIDENCIA GAS
201701;1411057;UNIDAD VINCULACIÓN Y DESARROLLO URBANÍSTICO AGUAS;VICEPRESIDENCIA EJECUTIVA GESTIÓN DE NEGOCIOS;VICEPRESIDENCIA AGUA Y SANEAMIENTO
201701;1511066;UNIDAD MANTENIMIENTO EQUIPOS GESTIÓN AGUAS RESIDUALES;VICEPRESIDENCIA EJECUTIVA GESTIÓN DE NEGOCIOS;VICEPRESIDENCIA AGUA Y SANEAMIENTO
201701;1411056;UNIDAD MANTENIMIENTO EQUIPOS PROVISIÓN AGUAS;VICEPRESIDENCIA EJECUTIVA GESTIÓN DE NEGOCIOS;VICEPRESIDENCIA AGUA Y SANEAMIENTO
201701;1980685;GERENCIA GESTIÓN DE NEGOCIOS E INVERSIONES;VICEPRESIDENCIA EJECUTIVA FINANZAS CORPORATIVAS, GESTIÓN DE RIESGOS E INVERSIONES;GERENCIA GESTIÓN DE NEGOCIOS E INVERSIONES
201701;1980717;UNIDAD CONTRATACIÓN;VICEPRESIDENCIA SUMINISTROS Y SERVICIOS COMPARTIDOS;GERENCIA CADENA DE SUMINISTRO
